Name,Type,Quantity
หมูนุ่ม,meat,26
หมููชาบู,meat,2
เนื้อวัว,meat,9
เนื้อไก่,meat,25
หมึกกรอบ,meat,14
แมงกะพรุน,meat,30
ลูกชิ้นกุ้ง,meat,23
เต้าหู้ปลา,meat,9
เส้นปลา,meat,1
เกี๊ยวกุ้งชีส,meat,30
เนื้อ Australia,meat,7
ไข่ไก่,meat,16
เนื้อ US,meat,10
หอยแมลงภู่นิวซีแลนด์,meat,0
กุ้งสด,meat,26
ปลาหมึกสด,meat,9
เนื้อปลาสด,meat,5
วุ้นเส้น,vegetable,2
เห็ดฟาง,vegetable,26
ข้าวโพด,vegetable,2
ฟักทอง,vegetable,17
สาหร่ายวากาเมะ,vegetable,18
ผักกาดขาว,vegetable,24
กวางตุ้ง,vegetable,16
ผักบุ้ง,vegetable,8
ขนมจีบ,appetizer,21
ซาลาเปา,appetizer,29
ปอเปี๊ยทอด,appetizer,7
